city_name,city_country_code,city_id,city_lat,city_lng,city_max_temp,city_humidity,city_cloud_cover,city_wind_speed,record_dt
Porto Novo,CV,3374336,17.02,-25.06,77.0,50,40,20.8,1524315600
Djenne,ML,2458589,13.91,-4.55,100.55,35,0,8.77,1524317356
Manaure,CO,3675504,11.78,-72.45,84.2,62,20,17.22,1524315600
Kassala,SD,372753,15.45,36.38,105.86,13,0,8.77,1524317065
Kon Tum,VN,1578500,14.36,108.0,75.26,79,64,1.79,1524317357
San Jose de Rio Tinto,HN,3602066,14.93,-85.7,73.4,94,75,2.39,1524315600
Nanakuli,US,5851349,21.39,-158.15,73.4,82,1,4.7,1524315420
Filingue,NE,2444995,14.35,3.32,104.78,15,8,14.7,1524317358
Bakel,SN,2252606,14.9,-12.46,92.45,31,0,10.29,1524317358
Bajil,YE,77408,15.06,43.29,97.31,36,0,9.62,1524317358
Petoa,HN,3603799,15.27,-88.29,75.2,100,75,2.39,1524315600
Sainte-Marie,MQ,3569926,14.78,-60.99,82.4,69,75,19.46,1524315600
Sur,OM,286245,22.57,59.53,81.56,86,0,4.41,1524317358
Tanout,NE,2439155,14.97,8.88,106.31,12,20,5.03,1524317359
Iralaya,HN,3608828,15.0,-83.23,80.6,78,20,4.7,1524312000
Aloleng,PH,1731298,16.13,119.78,83.45,89,44,3.29,1524317300
Ati,TD,2436400,13.21,18.34,108.38,14,0,4.59,1524317359
Gigmoto,PH,1712961,13.78,124.39,81.29,100,92,8.39,1524317360
Ayorou,NE,2447416,14.73,0.92,103.7,12,0,11.97,1524317360
Kanigiri,IN,1268059,15.41,79.51,94.7,49,36,7.61,1524317360
Bacsay,PH,1729510,15.65,120.33,82.4,74,75,2.24,1524315600
Bani,DO,3512067,18.28,-70.33,82.4,69,75,6.93,1524315600
Les Cayes,HT,3728097,18.19,-73.75,79.67,100,8,8.32,1524317361
Morant Bay,JM,3489440,17.88,-76.41,82.4,74,20,5.82,1524315600
Ratnagiri,IN,1258338,16.98,73.3,87.77,86,0,18.95,1524317362
